period,xDomainNumb,label,labelShort,labelVeryShort
2008-11-01/P1M,2008.83,Nov 2008,Nov 08,08
2008-12-01/P1M,2008.92,Dec 2008,Dec 08,08
2009,2009,2009,2009,09
2009-01-01/P1M,2009,Jan 2009,Jan 09,09
2009-01-01/P1Y,2009,2009,2009,09
2009-01-01/P3Y,2009,2009-11,09-11,11
2009-02-01/P1M,2009.08,Feb 2009,Feb 09,09
2009-03-01/P1M,2009.17,Mar 2009,Mar 09,09
2009-04-01/P1M,2009.25,Apr 2009,Apr 09,09
2009-04-01/P1Y,2009,2009-10,09-10,10
2009-04-22,2009,2009,2009,09
2009-05-01/P1M,2009.33,May 2009,May 09,09
2009-06-01/P1M,2009.42,Jun 2009,Jun 09,09
2009-06-30,2009,2009,2009,09
2009-06-30/P5Y,2009,2009-14,09-14,14
2009-07-01/P1M,2009.5,Jul 2009,Jul 09,09
2009-08-01/P1M,2009.58,Aug 2009,Aug 09,09
2009-08-01/P1Y,2009,2009-10,09-10,10
2009-09-01/P1M,2009.67,Sep 2009,Sep 09,09
2009-10-01/P1M,2009.75,Oct 2009,Oct 09,09
2009-11-01/P1M,2009.83,Nov 2009,Nov 09,09
2009-12-01/P1M,2009.92,Dec 2009,Dec 09,09
2010,2010,2010,2010,10
2010-01-01/P1M,2010,Jan 2010,Jan 10,10
2010-01-01/P1Y,2010,2010,2010,10
2010-01-01/P3Y,2010,2010-12,10-12,12
2010-02-01/P1M,2010.08,Feb 2010,Feb 10,10
2010-03-01/P1M,2010.17,Mar 2010,Mar 10,10
2010-04-01/P1M,2010.25,Apr 2010,Apr 10,10
2010-04-01/P1Y,2010,2010-11,10-11,11
2010-04-21,2010,2010,2010,10
2010-05-01/P1M,2010.33,May 2010,May 10,10
2010-06-01/P1M,2010.42,Jun 2010,Jun 10,10
2010-06-30,2010,2010,2010,10
2010-06-30/P5Y,2010,2010-15,10-15,15
2010-07-01/P1M,2010.5,Jul 2010,Jul 10,10
2010-08-01/P1M,2010.58,Aug 2010,Aug 10,10
2010-08-01/P1Y,2010,2010-11,10-11,11
2010-09-01/P1M,2010.67,Sep 2010,Sep 10,10
2010-10-01/P1M,2010.75,Oct 2010,Oct 10,10
2010-11-01/P1M,2010.83,Nov 2010,Nov 10,10
2010-12-01/P1M,2010.92,Dec 2010,Dec 10,10
2011,2011,2011,2011,11
2011-01-01/P1M,2011,Jan 2011,Jan 11,11
2011-01-01/P1Y,2011,2011,2011,11
2011-01-01/P3Y,2011,2011-13,11-13,13
2011-02-01/P1M,2011.08,Feb 2011,Feb 11,11
2011-03-01/P1M,2011.17,Mar 2011,Mar 11,11
2011-04-01/P1M,2011.25,Apr 2011,Apr 11,11
2011-04-01/P1Y,2011,2011-12,11-12,12
2011-04-13,2011,2011,2011,11
2011-05-01/P1M,2011.33,May 2011,May 11,11
2011-06-01/P1M,2011.42,Jun 2011,Jun 11,11
2011-06-30,2011,2011,2011,11
2011-06-30/P5Y,2011,2011-16,11-16,16
2011-07-01/P1M,2011.5,Jul 2011,Jul 11,11
2011-08-01/P1M,2011.58,Aug 2011,Aug 11,11
2011-08-01/P1Y,2011,2011-12,11-12,12
2011-09-01/P1M,2011.67,Sep 2011,Sep 11,11
2011-10-01/P1M,2011.75,Oct 2011,Oct 11,11
2011-11-01/P1M,2011.83,Nov 2011,Nov 11,11
2011-12-01/P1M,2011.92,Dec 2011,Dec 11,11
2012,2012,2012,2012,12
2012-01-01/P1M,2012,Jan 2012,Jan 12,12
2012-01-01/P1Y,2012,2012,2012,12
2012-01-01/P3Y,2012,2012-14,12-14,14
2012-02-01/P1M,2012.08,Feb 2012,Feb 12,12
2012-02-01/P1Y,2012,2012-13,12-13,13
2012-03-01/P1M,2012.17,Mar 2012,Mar 12,12
2012-04-01/P1M,2012.25,Apr 2012,Apr 12,12
2012-04-01/P1Y,2012,2012-13,12-13,13
2012-04-18,2012,2012,2012,12
2012-05-01/P1M,2012.33,May 2012,May 12,12
2012-05-15/P1Y,2012,2012-13,12-13,13
2012-06-01/P1M,2012.42,Jun 2012,Jun 12,12
2012-06-30,2012,2012,2012,12
2012-06-30/P5Y,2012,2012-17,12-17,17
2012-07-01/P1M,2012.5,Jul 2012,Jul 12,12
2012-08-01/P1M,2012.58,Aug 2012,Aug 12,12
2012-08-01/P1Y,2012,2012-13,12-13,13
2012-09-01/P1M,2012.67,Sep 2012,Sep 12,12
2012-10-01/P1M,2012.75,Oct 2012,Oct 12,12
2012-11-01/P1M,2012.83,Nov 2012,Nov 12,12
2012-12-01/P1M,2012.92,Dec 2012,Dec 12,12
2013,2013,2013,2013,13
2013-01-01/P1M,2013,Jan 2013,Jan 13,13
2013-01-01/P1Y,2013,2013,2013,13
2013-01-01/P3Y,2013,2013-15,13-15,15
2013-02-01/P1M,2013.08,Feb 2013,Feb 13,13
2013-02-01/P1Y,2013,2013-14,13-14,14
2013-03-01/P1M,2013.17,Mar 2013,Mar 13,13
2013-04-01/P1M,2013.25,Apr 2013,Apr 13,13
2013-04-01/P1Y,2013,2013-14,13-14,14
2013-04-01/P3Y,2013,2013-16,13-16,16
2013-04-17,2013,2013,2013,13
2013-05-01/P1M,2013.33,May 2013,May 13,13
2013-05-15/P1Y,2013,2013-14,13-14,14
2013-06-01/P1M,2013.42,Jun 2013,Jun 13,13
2013-06-30,2013,2013,2013,13
2013-06-30/P5Y,2013,2013-18,13-18,18
2013-07-01/P1M,2013.5,Jul 2013,Jul 13,13
2013-08-01/P1M,2013.58,Aug 2013,Aug 13,13
2013-08-01/P1Y,2013,2013-14,13-14,14
2013-09-01/P1M,2013.67,Sep 2013,Sep 13,13
2013-10-01/P1M,2013.75,Oct 2013,Oct 13,13
2013-11-01/P1M,2013.83,Nov 2013,Nov 13,13
2013-12-01/P1M,2013.92,Dec 2013,Dec 13,13
2014,2014,2014,2014,14
2014-01-01/P1M,2014,Jan 2014,Jan 14,14
2014-01-01/P1Y,2014,2014,2014,14
2014-01-01/P3Y,2014,2014-16,14-16,16
2014-02-01/P1M,2014.08,Feb 2014,Feb 14,14
2014-02-01/P1Y,2014,2014-15,14-15,15
2014-03-01/P1M,2014.17,Mar 2014,Mar 14,14
2014-04-01/P1M,2014.25,Apr 2014,Apr 14,14
2014-04-01/P1Y,2014,2014-15,14-15,15
2014-04-01/P3Y,2014,2014-17,14-17,17
2014-04-09,2014,2014,2014,14
2014-05-01/P1M,2014.33,May 2014,May 14,14
2014-05-15/P1Y,2014,2014-15,14-15,15
2014-06-01/P1M,2014.42,Jun 2014,Jun 14,14
2014-06-30,2014,2014,2014,14
2014-06-30/P5Y,2014,2014-19,14-19,19
2014-07-01/P1M,2014.5,Jul 2014,Jul 14,14
2014-08-01/P1M,2014.58,Aug 2014,Aug 14,14
2014-08-01/P1Y,2014,2014-15,14-15,15
2014-09-01/P1M,2014.67,Sep 2014,Sep 14,14
2014-10-01/P1M,2014.75,Oct 2014,Oct 14,14
2014-11-01/P1M,2014.83,Nov 2014,Nov 14,14
2014-12-01/P1M,2014.92,Dec 2014,Dec 14,14
2015,2015,2015,2015,15
2015-01-01/P1M,2015,Jan 2015,Jan 15,15
2015-01-01/P1Y,2015,2015,2015,15
