id,period,xDomainNumb,label,labelShort,labelVeryShort
7,2019-08-01T00:00:00/P1Y,2019,2019-20,19-20,20
8,2019-08-01T00:00:00/P1Y,2019,2019-20,19-20,20
66,2018,2018,2018,2018,18
67,2018,2018,2018,2018,18
68,2018,2018,2018,2018,18
