AREACD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
E06000001,E08000011,E07000010,E06000057,E08000016,E06000003,S12000038,E07000171,E08000018,S12000008,S12000047,E10000017,E10000024,E07000114,E10000019,E07000136,E07000076,E07000033,E08000036,S12000040,S12000042
E06000002,E08000025,E06000032,E08000012,S12000049,E08000001,E08000026,E08000017,S12000042,E08000032,E06000018,E06000009,E08000031,E08000030,E08000006,E06000016,E08000005,E08000003,W06000022,S12000039,E07000174
E06000003,E08000037,E06000047,E08000036,W06000022,S12000047,E08000013,E08000019,E08000008,E07000136,E08000016,E07000174,S12000008,E07000114,E06000026,E10000019,E06000005,E08000033,W06000011,E08000015,E08000034
E06000004,E08000036,E08000024,S12000029,E06000006,E06000047,E07000108,E06000035,S12000038,S12000047,S12000020,E07000127,E10000017,S12000014,E08000011,E10000020,E06000026,S12000040,E07000033,E08000035,E06000012
E06000005,E06000031,E08000037,E06000003,E08000014,W06000022,E07000237,W06000014,E06000062,E08000019,E08000021,E07000219,S12000047,E08000036,E08000022,E08000013,E06000047,E08000035,W06000011,S12000038,E08000017
E06000006,S12000014,E07000108,W06000013,E08000015,E10000017,E08000033,S12000005,E06000050,E08000036,E07000121,E06000047,E07000033,S12000047,S12000021,W06000016,E06000004,E07000090,E06000026,E06000012,E08000019
E06000007,S12000030,E06000035,E10000016,E08000007,E06000024,E07000129,E06000062,E07000070,S12000029,E08000014,E06000055,E06000058,E07000071,E10000012,E06000034,E06000050,E07000110,E07000081,E07000066,E07000109
E06000008,E08000028,E08000032,E06000021,E08000001,E08000005,E07000136,E06000016,E07000120,E06000010,E08000031,E08000004,E08000008,E10000017,E06000018,E08000030,E07000117,E06000009,E08000011,E08000034,E07000174
E06000009,E06000018,E08000032,E08000012,E07000138,E06000021,S12000049,E06000016,E08000019,W06000011,S12000042,E06000027,E08000031,W06000022,E08000025,E06000032,E07000136,E08000026,E08000021,E06000026,E08000001
E06000010,E08000034,E06000026,E06000012,E08000024,E08000028,E06000021,W06000012,E08000008,E08000016,E07000120,W06000018,E06000047,E08000032,E07000125,E07000174,E08000036,E08000033,W06000024,W06000019,E10000017
E06000011,E10000031,E06000065,E07000132,N09000001,E10000007,E07000113,E07000043,E07000143,E07000238,E06000054,E07000199,E10000018,E06000049,E06000020,E10000013,E10000029,E10000020,E07000127,E10000003,E06000057
E06000012,E08000024,E08000033,E06000026,E06000047,E08000036,W06000018,E08000008,E06000010,E08000034,E10000017,W06000012,E08000016,E10000019,W06000006,E07000125,E06000003,W06000010,S12000047,W06000001,W06000019
E06000013,E07000119,W06000005,E07000125,W06000018,E07000032,W06000006,E06000012,E07000124,S12000020,E08000024,E07000127,E10000007,E07000193,E10000017,E07000218,E08000033,W06000012,E07000139,E06000011,E07000236
E06000014,E07000226,E06000043,E07000234,E07000071,E06000050,E06000022,E10000032,E10000014,E07000041,S12000030,E06000058,E08000007,E08000029,E07000197,E07000096,W06000014,E06000054,E07000086,E07000245,E06000062
E06000015,E07000193,E10000017,E06000020,E08000008,E07000120,E06000031,E06000021,E08000027,E07000117,E08000034,W06000022,E07000136,S12000047,E07000237,E06000012,E08000033,E08000030,E07000199,E06000003,E10000019
E06000016,E08000032,E08000025,E08000031,E06000018,E08000001,E08000028,E06000008,E08000030,E06000021,E06000009,E08000012,E08000026,E06000032,S12000049,E08000005,E07000117,E06000010,E08000003,E06000002,E07000136
E06000017,E07000217,E07000093,E06000060,E07000085,E07000222,E10000025,E07000116,W06000021,E07000214,E07000209,E07000087,E07000177,E07000227,E10000014,E07000226,E06000024,E07000099,E07000234,E07000197,E08000029
E06000018,E06000009,E06000016,E08000025,E08000012,E08000032,E08000003,S12000049,E08000001,E06000008,E06000021,E08000031,E06000032,S12000042,E07000138,E06000002,E08000006,E08000026,E08000028,E07000136,E08000030
E06000019,E06000066,E07000043,E06000059,E07000130,E07000198,E07000132,E10000034,E10000018,E07000146,E07000238,E10000020,E10000013,E07000196,E07000035,E10000028,E07000235,E06000065,E10000008,W06000001,E07000244
E06000020,E10000017,E10000019,E07000237,S12000047,E07000043,E07000033,E06000015,E06000011,E07000136,E10000007,E07000219,E07000193,W06000022,E08000008,N09000001,E07000010,S12000020,S12000038,E06000003,E08000036
E06000021,E08000032,E07000120,E06000008,E08000028,E06000010,E07000117,E08000004,E08000031,E06000009,E08000030,E06000015,E07000136,E07000138,E08000008,E08000034,E06000016,E06000012,E08000001,E06000026,W06000024
E06000022,E07000096,E06000024,E10000032,E10000011,E06000058,E06000014,E06000043,E06000033,E06000060,E07000227,E08000007,E07000078,E07000041,E07000223,S12000030,E08000009,E07000085,E06000059,E10000016,W06000014
E06000023,E08000009,E08000035,W06000015,E07000078,E08000007,E06000058,E07000226,E06000043,E07000108,E06000033,E08000029,S12000030,E06000050,E06000044,E08000021,E06000062,E06000022,E06000007,E08000015,E10000016
E06000024,E06000055,E10000016,S12000030,E06000062,E08000007,W06000014,E10000018,E06000059,E10000032,E06000054,E07000113,E06000007,E07000227,E07000129,E07000071,E07000130,E10000029,E07000131,W06000021,E07000070
E06000025,E06000049,E07000086,E07000177,E10000014,E07000180,E10000003,E10000013,E10000025,E07000229,E06000036,E07000126,E07000139,E07000181,S12000036,E07000103,E07000113,E10000031,E07000129,E06000056,E07000115
E06000026,E08000036,E08000024,E08000034,E06000012,E06000010,E06000047,W06000022,E08000033,W06000012,E08000015,E06000003,E08000013,E08000008,E08000037,E08000016,E08000019,W06000024,E07000062,E08000022,W06000011
E06000027,W06000011,E07000062,E08000019,E07000121,W06000009,E08000015,W06000002,E08000014,W06000004,W06000003,W06000008,W06000015,E07000138,E06000046,E06000003,E07000145,E08000013,E08000037,E06000052,E08000007
E06000030,S12000036,E06000050,E09000008,E06000045,E07000229,E07000103,E06000044,E06000049,E07000092,E10000014,E08000029,E07000226,E06000039,E09000018,E07000086,E06000025,E07000084,E06000062,E08000022,E06000037
E06000031,E06000005,E07000237,W06000022,E06000062,E08000014,S12000047,E06000061,E08000037,S12000038,E08000026,E08000019,E06000003,E07000219,W06000014,E06000015,E08000017,E06000032,E08000015,E08000013,E06000044
E06000032,E08000026,S12000049,E08000012,W06000022,E08000006,E08000017,E08000025,E06000002,E08000031,E08000019,E08000032,E06000031,E08000030,E08000021,E08000002,E08000013,E08000015,E08000035,W06000011,E07000114
E06000033,E08000007,E06000058,S12000030,E06000024,W06000014,E07000226,E06000022,E08000015,E08000029,E07000096,E09000029,E06000062,E06000007,E07000071,E06000023,E06000035,E10000016,E09000023,W06000021,E10000011
E06000034,E06000035,E06000007,E09000031,E09000004,E09000016,E07000066,E06000033,E08000007,E09000026,E07000243,E10000012,E09000015,E08000029,E06000062,E10000016,E07000070,E10000015,E06000024,E09000029,E09000009
E06000035,E06000007,E08000007,E10000016,E06000062,E06000034,E07000066,E07000108,S12000029,E06000024,E10000012,E06000058,E07000071,S12000030,E08000029,E08000014,E07000245,E08000015,E07000110,E06000050,E08000013
