AREACD,AREANM,Global cluster,Neighbour1,Neighbour2,Neighbour3,Neighbour4,Neighbour5,Neighbour6,Neighbour7,Neighbour8,Neighbour9,Neighbour10
E07000009,East Cambridgeshire,0,E06000024,E07000093,E07000110,E07000099,E06000051,E07000113,E06000049,E07000083,E06000025,E07000115
E07000010,Fenland,0,E06000019,E07000105,E07000108,E06000024,E06000054,E06000050,E07000113,E07000218,E06000049,E06000052
E07000011,Huntingdonshire,0,E06000025,E06000024,E06000049,E07000086,E06000011,E06000050,E06000051,E06000037,E06000007,E06000019
E07000012,South Cambridgeshire,1,E07000180,E07000011,E07000085,E06000025,E06000037,E07000179,E06000060,E06000049,E06000056,E07000149
E07000032,Amber Valley,0,E06000013,E06000004,E07000113,E06000019,E06000006,E06000047,E06000011,E06000024,E06000052,E06000001
E07000033,Bolsover,2,E06000006,E06000047,E07000108,E06000020,E07000117,E06000003,E06000005,E06000050,E06000001,E06000007
E07000034,Chesterfield,2,E06000005,E07000114,E06000006,E06000004,E06000007,E06000047,E06000027,E06000003,E06000050,E06000024
E07000035,Derbyshire Dales,0,E06000046,E07000091,E06000051,E06000052,E06000011,E06000054,E07000124,E06000049,E07000082,E06000017
E07000036,Erewash,2,E06000004,E06000013,E06000012,E06000001,E07000121,E06000006,E06000003,E07000218,E06000047,E08000037
E07000037,High Peak,0,E06000051,E06000019,E07000112,E06000052,E06000024,E06000047,E06000013,E07000082,E06000011,E06000049
E07000038,North East Derbyshire,0,E06000004,E06000011,E06000006,E06000003,E06000001,E06000047,E06000024,E06000050,E06000019,E06000007
E07000039,South Derbyshire,0,E06000025,E06000030,E06000049,E06000020,E06000006,E06000050,E06000013,E07000119,E06000024,E06000004
E07000040,East Devon,0,E06000052,E06000024,E06000017,E06000051,E07000093,E06000049,E07000085,E06000054,E07000091,E06000050
E07000041,Exeter,1,E06000022,E06000023,E07000078,E06000044,E07000148,E06000043,E06000058,E06000045,E07000071,E06000014
E07000042,Mid Devon,0,E06000019,E07000082,E06000052,E06000054,E06000011,E06000051,E07000105,E07000085,E07000083,E06000024
E07000043,North Devon,0,E06000054,E06000019,E06000011,E06000017,E06000052,E06000051,E07000108,E06000049,E06000024,E06000022
E07000044,South Hams,0,E07000082,E06000054,E06000011,E06000052,E06000019,E06000022,E06000049,E06000017,E06000050,E07000091
E07000045,Teignbridge,0,E06000054,E07000108,E06000024,E06000011,E07000105,E06000027,E07000085,E06000019,E06000051,E06000049
E07000046,Torridge,0,E06000052,E06000019,E06000024,E07000114,E06000017,E07000112,E07000091,E07000087,E07000090,E07000113
E07000047,West Devon,0,E06000051,E06000019,E06000017,E06000054,E06000024,E07000091,E06000011,E06000049,E07000093,E07000082
E07000061,Eastbourne,2,E07000108,E06000005,E07000130,E07000134,E06000022,E07000062,E06000058,E06000027,E06000033,E07000076
E07000062,Hastings,2,E07000061,E07000134,E07000108,E07000125,E07000033,E06000027,E07000219,E06000005,E07000138,E06000045
E07000063,Lewes,0,E07000108,E07000106,E06000052,E07000085,E06000024,E07000090,E07000114,E06000050,E07000091,E07000200
E07000064,Rother,0,E07000108,E07000091,E07000085,E06000051,E06000046,E06000054,E07000198,E07000200,S12000030,E06000019
E07000065,Wealden,0,E07000085,E06000052,E07000093,E07000091,E06000054,E06000049,E07000105,E06000051,E06000024,E07000110
E07000066,Basildon,1,E06000034,E06000035,E07000095,E07000099,E07000086,E07000105,E07000107,E07000113,E06000025,E07000084
E07000067,Braintree,0,E07000113,E07000218,E07000099,E06000054,E07000085,E07000115,E07000084,E06000024,E06000049,E06000052
E07000068,Brentwood,1,E07000115,E07000099,E07000089,E07000098,E07000110,E07000095,E07000107,E06000040,E07000085,E07000116
E07000069,Castle Point,0,E07000090,E06000052,E07000114,E07000085,E07000091,E07000115,E07000087,E07000105,E06000007,E07000110
E07000070,Chelmsford,1,E07000115,E07000096,E07000105,E07000110,E07000099,E06000024,E07000113,E07000085,E07000093,E06000036
E07000071,Colchester,1,E06000025,E07000105,E07000093,E07000086,E06000036,E06000024,E06000054,E07000115,E07000113,E06000030
E07000072,Epping Forest,1,E07000115,E07000095,E07000085,E07000111,E07000099,E07000089,E07000110,E07000105,E07000102,E06000040
E07000073,Harlow,1,E06000034,E07000081,E07000107,E06000055,E06000033,E06000042,E07000105,E06000030,E06000007,E07000113
E07000074,Maldon,0,E07000203,E07000115,E07000093,E06000054,E06000052,E07000082,E06000019,E07000091,E07000105,E06000049
E07000075,Rochford,0,E07000085,E07000115,E06000054,E07000082,E06000024,E07000110,E07000087,E07000105,E07000091,E06000035
E07000076,Tendring,0,E06000046,E06000050,E06000027,E06000052,E06000011,E07000118,E07000085,E06000022,E06000054,E06000024
E07000077,Uttlesford,1,E07000105,E07000085,E07000131,E06000060,E06000056,E06000054,E07000115,E07000149,E07000094,E07000215
E07000078,Cheltenham,1,E06000014,E06000058,E06000022,E07000041,E06000054,E07000071,E07000087,E07000043,E06000044,E06000066
E07000079,Cotswold,1,E07000085,E07000094,E06000017,E06000037,E06000049,E07000093,E06000054,E07000089,E07000091,E06000040
E07000080,Forest of Dean,0,E07000085,E06000011,E07000082,E06000054,E06000049,E06000050,E07000084,E07000105,E06000037,E06000052
E07000137,East Lindsey,0,E07000114,E06000052,E06000019,E06000051,E06000027,E06000047,E06000003,E06000011,E06000050,E06000012
E07000138,Lincoln,2,E06000044,E06000045,E06000005,E07000081,E06000015,E06000027,E06000026,E06000002,E06000021,E06000022
E07000139,North Kesteven,0,E07000218,E07000119,E06000051,E06000024,E07000090,E06000019,E07000087,E07000083,E06000052,E07000110
E07000140,South Holland,0,E06000013,E06000019,E06000051,E07000113,E07000119,E06000020,E07000083,E06000024,E06000052,E07000112
E07000141,South Kesteven,0,E06000019,E07000114,E06000051,E06000052,E06000024,E06000050,E07000218,E06000046,E06000049,E07000200
E07000142,West Lindsey,0,E06000051,E06000052,E06000019,E07000113,E06000024,E07000112,E07000114,E07000082,E06000006,E07000083
E07000143,Breckland,0,E07000082,E06000052,E07000218,E06000051,E06000011,E06000054,E07000083,E07000085,E06000024,E06000049
E07000144,Broadland,0,E07000091,E06000024,E06000051,E06000049,E06000025,E07000113,E07000090,E07000119,E06000052,E07000083
E07000145,Great Yarmouth,0,E07000114,E06000046,E07000121,E06000027,E06000052,E06000051,E06000026,E06000050,E06000019,E06000024
E07000146,King's Lynn and West Norfolk,0,E06000052,E06000051,E06000054,E06000011,E07000108,E07000105,E06000024,E06000049,E06000050,E06000017
E07000147,North Norfolk,0,E06000051,E07000091,E06000019,E06000054,E06000011,E06000024,E06000046,E07000082,E06000017,E06000027
E07000148,Norwich,2,E06000023,E06000045,E06000044,E07000041,E06000043,E06000014,E07000202,E07000138,E07000078,E06000022
E07000149,South Norfolk,0,E07000085,E06000054,E07000093,E06000052,E06000024,E06000049,E06000051,E06000050,E07000221,E07000200
E07000170,Ashfield,2,E06000035,E07000118,E06000006,E07000108,E06000001,E06000007,E06000003,E06000005,E07000113,E07000117
E07000171,Bassetlaw,0,E06000006,E07000108,E06000004,E06000013,E07000114,E06000052,E06000019,E06000011,E06000003,E07000113
E07000172,Broxtowe,2,E07000108,E06000026,E06000001,E06000006,E06000007,E06000003,E07000090,E06000035,E06000005,E06000011
E07000173,Gedling,2,E06000035,E06000007,E07000108,E06000006,E06000005,E07000114,E06000050,E07000090,E06000003,E06000011
E07000174,Mansfield,2,E06000004,E06000003,E06000020,E07000117,E06000002,E06000021,E07000114,E06000001,E06000006,E06000047
E07000175,Newark and Sherwood,0,E07000218,E06000051,E06000024,E06000052,E06000019,E07000112,E06000020,E06000006,E06000007,E06000047
E07000176,Rushcliffe,1,E07000086,E07000115,E06000025,E07000093,E06000049,E06000054,E06000007,E07000084,E07000085,E06000024
E07000177,Cherwell,1,E07000093,E06000049,E06000025,E07000220,E07000105,E06000050,E07000113,E06000037,E06000017,E06000036
E07000178,Oxford,1,E06000014,E07000078,E07000008,E06000038,E06000023,E07000041,E06000043,E06000044,E06000058,E07000148
E07000179,South Oxfordshire,1,E06000060,E07000093,E06000037,E07000085,E07000094,E07000180,E07000089,E07000181,E06000049,E06000040
E07000180,Vale of White Horse,1,E07000093,E07000179,E07000181,E06000025,E06000049,E07000086,E07000177,E07000012,E06000060,E07000071
E07000181,West Oxfordshire,1,E07000093,E06000049,E07000087,E06000037,E06000017,E07000085,E06000025,E06000054,E07000099,E06000024
E07000192,Cannock Chase,0,E07000199,E07000112,E07000087,E06000024,E06000051,E07000090,E06000006,E06000007,E06000020,E07000086
E07000193,East Staffordshire,0,E07000113,E07000117,E06000006,E07000105,E06000051,E06000013,E06000026,E06000047,E06000049,E06000019
E07000194,Lichfield,0,E06000024,E07000087,E06000051,E06000007,E06000049,E06000054,E07000085,E07000093,E06000052,E06000050
E07000195,Newcastle-under-Lyme,2,E06000006,E07000108,E06000047,E06000003,E06000004,E06000007,E07000106,E06000027,E06000026,E06000050
E07000196,South Staffordshire,0,E07000124,E06000024,E06000049,E07000087,E06000051,E07000112,E06000006,E07000119,E06000013,E07000091
E07000197,Stafford,0,E07000108,E06000054,E06000005,E06000050,E06000011,E06000007,E07000106,E06000022,E07000085,E07000105
E07000198,Staffordshire Moorlands,0,E06000019,E07000082,E06000051,E07000108,E06000054,E06000052,E06000006,E07000091,E06000049,E06000024
E07000199,Tamworth,0,E07000113,E07000132,E06000026,E07000192,E07000129,E07000034,E07000194,E06000007,E06000035,E06000024
E07000200,Babergh,0,E06000019,E06000051,E06000052,E06000017,E06000049,E07000091,E07000112,E06000054,E06000024,E06000011
E07000202,Ipswich,2,E07000073,E06000044,E06000033,E07000081,E06000058,E06000023,E06000038,E07000071,E07000078,E06000030
E07000203,Mid Suffolk,0,E06000019,E07000091,E07000082,E06000052,E07000083,E06000051,E07000087,E07000085,E07000093,E07000110
E07000207,Elmbridge,1,E07000089,E06000041,E06000037,E07000098,E07000179,E06000060,E07000102,E07000068,E07000111,E07000115
E07000208,Epsom and Ewell,1,E06000060,E06000040,E07000115,E07000099,E07000070,E06000041,E07000116,E06000036,E07000109,E07000071
E07000209,Guildford,1,E06000060,E06000037,E06000040,E07000089,E07000096,E07000084,E06000036,E07000070,E07000094,E07000085
E07000210,Mole Valley,1,E06000040,E06000037,E07000116,E07000089,E07000111,E07000085,E06000049,E07000093,E07000115,E07000099
E07000211,Reigate and Banstead,1,E07000084,E06000060,E06000040,E07000066,E06000036,E06000037,E07000179,E06000056,E07000086,E06000041
E07000212,Runnymede,1,E07000089,E06000041,E06000036,E06000037,E07000084,E07000179,E06000060,E06000025,E06000049,E07000180
E07000213,Spelthorne,1,E07000089,E06000040,E06000036,E07000095,E06000060,E07000086,E07000102,E07000099,E06000037,E07000092
E07000214,Surrey Heath,1,E07000093,E06000049,E06000037,E06000040,E07000085,E07000099,E07000115,E07000089,E06000041,E07000094
E07000215,Tandridge,1,E07000111,E07000077,E07000070,E07000072,E07000068,E06000060,E07000067,E07000115,E07000069,E07000085
E07000216,Waverley,1,E07000096,E07000116,E06000040,E07000085,E06000037,E07000094,E07000089,E07000093,E07000115,E06000049
E07000217,Woking,1,E07000099,E06000040,E07000096,E06000041,E07000093,E06000037,E07000115,E07000110,E07000089,E06000049
E07000218,North Warwickshire,0,E07000113,E06000051,E06000024,E06000052,E06000019,E06000049,E06000006,E06000050,E06000007,E06000011
E07000219,Nuneaton and Bedworth,2,E06000005,E06000004,E06000020,E07000118,E07000081,E07000108,E06000035,E06000007,E06000027,E06000050
E07000220,Rugby,1,E06000062,E06000025,E07000105,E07000113,E07000086,E06000020,E06000055,E06000024,E07000118,E06000035
E07000221,Stratford-on-Avon,0,E07000124,E07000085,E06000049,E07000093,E06000054,E07000119,E06000051,E06000024,E06000019,E06000017
E07000222,Warwick,1,E06000058,E07000084,E07000086,E06000025,E07000176,E06000022,E07000011,E06000062,E06000049,E07000071
E08000035,Leeds,2,E06000035,E06000030,E07000073,E06000058,E06000005,E07000130,E06000007,E06000061,E07000071,E07000123
E08000036,Wakefield,2,E06000004,E06000003,E06000005,E06000020,E06000001,E06000047,E07000033,E06000021,E06000061,E07000173
E08000037,Gateshead,2,E06000001,E06000005,E06000004,E06000006,E06000047,E07000034,E06000021,E06000026,E07000033,E07000172
E09000002,Barking and Dagenham,3,E06000034,E06000039,E06000055,E07000073,E06000016,E07000107,E06000031,E07000103,E06000042,E07000109
E09000003,Barnet,3,E07000098,E07000109,E07000102,E06000060,E06000040,E06000055,E06000042,E07000072,E07000135,E06000038
E09000004,Bexley,1,E06000034,E07000107,E07000109,E06000035,E07000115,E07000099,E06000033,E07000070,E07000095,E06000056
E09000005,Brent,3,E07000103,E06000016,E06000032,E06000038,E06000042,E07000135,E07000109,E06000015,E06000018,E06000045
