id,period,xDomainNumb,label,labelShort,labelVeryShort
1,2023-01-01/P1Y,2023,2023,2023,23
1,2022-01-01/P1Y,2022,2022,2022,22
1,2021-01-01/P1Y,2021,2021,2021,21
1,2020-01-01/P1Y,2020,2020,2020,20
1,2019-01-01/P1Y,2019,2019,2019,19
1,2018-01-01/P1Y,2018,2018,2018,18
1,2017-01-01/P1Y,2017,2017,2017,17
1,2016-01-01/P1Y,2016,2016,2016,16
1,2015-01-01/P1Y,2015,2015,2015,15
1,2014-01-01/P1Y,2014,2014,2014,14
1,2013-01-01/P1Y,2013,2013,2013,13
1,2012-01-01/P1Y,2012,2012,2012,12
1,2011-01-01/P1Y,2011,2011,2011,11
1,2010-01-01/P1Y,2010,2010,2010,10
1,2009-01-01/P1Y,2009,2009,2009,9
1,2008-01-01/P1Y,2008,2008,2008,8
1,2007-01-01/P1Y,2007,2007,2007,7
1,2006-01-01/P1Y,2006,2006,2006,6
1,2005-01-01/P1Y,2005,2005,2005,5
1,2004-01-01/P1Y,2004,2004,2004,4
2,2022-01-01/P1Y,2022,2022,2022,22
2,2021-01-01/P1Y,2021,2021,2021,21
2,2020-01-01/P1Y,2020,2020,2020,20
2,2019-01-01/P1Y,2019,2019,2019,19
2,2018-01-01/P1Y,2018,2018,2018,18
2,2017-01-01/P1Y,2017,2017,2017,17
2,2016-01-01/P1Y,2016,2016,2016,16
2,2015-01-01/P1Y,2015,2015,2015,15
2,2014-01-01/P1Y,2014,2014,2014,14
2,2013-01-01/P1Y,2013,2013,2013,13
2,2012-01-01/P1Y,2012,2012,2012,12
2,2011-01-01/P1Y,2011,2011,2011,11
2,2010-01-01/P1Y,2010,2010,2010,10
2,2009-01-01/P1Y,2009,2009,2009,9
2,2008-01-01/P1Y,2008,2008,2008,8
2,2007-01-01/P1Y,2007,2007,2007,7
2,2006-01-01/P1Y,2006,2006,2006,6
2,2005-01-01/P1Y,2005,2005,2005,5
2,2004-01-01/P1Y,2004,2004,2004,4
2,2003-01-01/P1Y,2003,2003,2003,3
2,2002-01-01/P1Y,2002,2002,2002,2
2,2001-01-01/P1Y,2001,2001,2001,1
2,2000-01-01/P1Y,2000,2000,2000,0
2,1999-01-01/P1Y,1999,1999,1999,99
2,1998-01-01/P1Y,1998,1998,1998,98
2,1997-01-01/P1Y,1997,1997,1997,97
3,2021-01-01/P1Y,2021,2021,2021,21
3,2020-01-01/P1Y,2020,2020,2020,20
3,2019-01-01/P1Y,2019,2019,2019,19
3,2018-01-01/P1Y,2018,2018,2018,18
3,2017-01-01/P1Y,2017,2017,2017,17
3,2016-01-01/P1Y,2016,2016,2016,16
3,2015-01-01/P1Y,2015,2015,2015,15
4,2023-01-01/P1Y,2023,2023,2023,23
4,2022-01-01/P1Y,2022,2022,2022,22
4,2021-01-01/P1Y,2021,2021,2021,21
4,2020-01-01/P1Y,2020,2020,2020,20
4,2019-01-01/P1Y,2019,2019,2019,19
4,2018-01-01/P1Y,2018,2018,2018,18
5,2023-01-01/P1Y,2023,2023,2023,23
5,2022-01-01/P1Y,2022,2022,2022,22
5,2021-01-01/P1Y,2021,2021,2021,21
5,2020-01-01/P1Y,2020,2020,2020,20
5,2019-01-01/P1Y,2019,2019,2019,19
5,2018-01-01/P1Y,2018,2018,2018,18
6,2023-09-01/P1Y,2023,2023-24,23-24,24
6,2022-09-01/P1Y,2022,2022-23,22-23,23
6,2021-09-01/P1Y,2021,2021-22,21-22,22
7,2023-08-01/P1Y,2023,2023-24,23-24,24
7,2022-08-01/P1Y,2022,2022-23,22-23,23
7,2021-08-01/P1Y,2021,2021-22,21-22,22
7,2020-08-01/P1Y,2020,2020-21,20-21,21
7,2018-08-01/P1Y,2018,2018-19,18-19,19
7,2017-08-01/P1Y,2017,2017-18,17-18,18
7,2016-08-01/P1Y,2016,2016-17,16-17,17
7,2015-08-01/P1Y,2015,2015-16,15-16,16
7,2014-08-01/P1Y,2014,2014-15,14-15,15
7,2013-08-01/P1Y,2013,2013-14,13-14,14
7,2012-08-01/P1Y,2012,2012-13,12-13,13
7,2011-08-01/P1Y,2011,2011-12,11-12,12
7,2010-08-01/P1Y,2010,2010-11,10-11,11
7,2009-08-01/P1Y,2009,2009-10,09-10,10
7,2008-08-01/P1Y,2008,2008-09,08-09,9
7,2007-08-01/P1Y,2007,2007-08,07-08,8
7,2006-08-01/P1Y,2006,2006-07,06-07,7
8,2023-08-01/P1Y,2023,2023-24,23-24,24
8,2022-08-01/P1Y,2022,2022-23,22-23,23
8,2021-08-01/P1Y,2021,2021-22,21-22,22
8,2020-08-01/P1Y,2020,2020-21,20-21,21
8,2018-08-01/P1Y,2018,2018-19,18-19,19
8,2017-08-01/P1Y,2017,2017-18,17-18,18
9,2023-04-01/P1Y,2023,2023-24,23-24,24
9,2022-04-01/P1Y,2022,2022-23,22-23,23
9,2021-04-01/P1Y,2021,2021-22,21-22,22
9,2020-04-01/P1Y,2020,2020-21,20-21,21
9,2019-04-01/P1Y,2019,2019-20,19-20,20
9,2018-04-01/P1Y,2018,2018-19,18-19,19
9,2017-04-01/P1Y,2017,2017-18,17-18,18
12,2023-01-01/P1Y,2023,2023,2023,23
12,2022-01-01/P1Y,2022,2022,2022,22
12,2021-01-01/P1Y,2021,2021,2021,21
12,2020-01-01/P1Y,2020,2020,2020,20
12,2019-01-01/P1Y,2019,2019,2019,19
12,2018-01-01/P1Y,2018,2018,2018,18
12,2017-01-01/P1Y,2017,2017,2017,17
12,2016-01-01/P1Y,2016,2016,2016,16
12,2015-01-01/P1Y,2015,2015,2015,15
12,2014-01-01/P1Y,2014,2014,2014,14
12,2013-01-01/P1Y,2013,2013,2013,13
12,2012-01-01/P1Y,2012,2012,2012,12
12,2011-01-01/P1Y,2011,2011,2011,11
12,2010-01-01/P1Y,2010,2010,2010,10
12,2009-01-01/P1Y,2009,2009,2009,9
12,2008-01-01/P1Y,2008,2008,2008,8
12,2007-01-01/P1Y,2007,2007,2007,7
12,2006-01-01/P1Y,2006,2006,2006,6
12,2005-01-01/P1Y,2005,2005,2005,5
12,2004-01-01/P1Y,2004,2004,2004,4
13,2023-01-01/P1Y,2023,2023,2023,23
13,2022-01-01/P1Y,2022,2022,2022,22
13,2021-01-01/P1Y,2021,2021,2021,21
13,2020-01-01/P1Y,2020,2020,2020,20
13,2019-01-01/P1Y,2019,2019,2019,19
13,2018-01-01/P1Y,2018,2018,2018,18
13,2017-01-01/P1Y,2017,2017,2017,17
13,2016-01-01/P1Y,2016,2016,2016,16
13,2015-01-01/P1Y,2015,2015,2015,15
13,2014-01-01/P1Y,2014,2014,2014,14
13,2013-01-01/P1Y,2013,2013,2013,13
13,2012-01-01/P1Y,2012,2012,2012,12
13,2011-01-01/P1Y,2011,2011,2011,11
13,2010-01-01/P1Y,2010,2010,2010,10
13,2009-01-01/P1Y,2009,2009,2009,9
