areacd,year,value
E92000001,2020,52.30839
E12000001,2020,50.77292
E06000047,2020,51.26369
E06000005,2020,51.30261
E06000001,2020,48.21853
E06000002,2020,55.17891
E06000057,2020,50.36839
E06000003,2020,51.98777
E06000004,2020,50.51813
E08000037,2020,46.81107
E08000021,2020,50.04985
E08000022,2020,51.2605
E08000023,2020,50.62893
E08000024,2020,51.6129
E12000002,2020,51.22087
E06000008,2020,43.67347
E06000009,2020,48.7013
E06000049,2020,54.45898
E06000050,2020,53.80543
E06000006,2020,56.66041
E06000007,2020,53.1746
E10000006,2020,49.16226
E07000026,2020,49.44321
E07000027,2020,47.81022
E07000028,2020,50.58548
E07000029,2020,46.49123
E07000030,2020,48.35165
E07000031,2020,50.69583
E08000001,2020,52.62097
E08000002,2020,53.5809
E08000003,2020,49.78417
E08000004,2020,48.17001
E08000005,2020,51.2761
E08000006,2020,51.78147
E08000007,2020,54.72313
E08000008,2020,51.58124
E08000009,2020,55.15152
E08000010,2020,52.28549
E10000017,2020,48.91393
E07000117,2020,45.87912
E07000118,2020,51.05882
E07000119,2020,47.39454
E07000120,2020,45.51282
E07000121,2020,50.92749
E07000122,2020,49.7006
E07000123,2020,47.04492
E07000124,2020,50.17182
E07000125,2020,53.11355
E07000126,2020,48.44125
E07000127,2020,51.70341
E07000128,2020,46.15385
E08000011,2020,50.08104
E08000012,2020,52.41139
E08000014,2020,49.69834
E08000013,2020,52.60274
E08000015,2020,50.29051
E12000003,2020,50.63807
E06000011,2020,49.38907
E06000010,2020,48.90351
E06000012,2020,45.52239
E06000013,2020,45.59043
E06000014,2020,49.26108
E10000023,2020,51.42857
E07000163,2020,53.20755
E07000164,2020,52.69608
E07000165,2020,54.39883
E07000166,2020,53.6036
E07000167,2020,48.79518
E07000168,2020,46.95652
E07000169,2020,51.29534
E08000016,2020,49.94299
E08000017,2020,51.51515
E08000018,2020,50.65723
E08000019,2020,53.59043
E08000032,2020,49.57433
E08000033,2020,50.2445
E08000034,2020,50.85389
E08000035,2020,52.64466
E08000036,2020,50.87719
E12000004,2020,49.12333
E06000015,2020,43.96201
E06000016,2020,45.59387
E06000061,2020,45.91574
E06000018,2020,50.19711
E06000017,2020,57.21393
E06000062,2020,54.2706
E10000007,2020,49.69079
E07000032,2020,47.91252
E07000033,2020,44.93671
E07000034,2020,57.24466
E07000035,2020,48.45679
E07000036,2020,46.45309
E07000037,2020,53.56265
E07000038,2020,51.89076
E07000039,2020,45.14286
E10000018,2020,49.46365
E07000129,2020,52.82051
E07000130,2020,48.52174
E07000131,2020,50.14837
E07000132,2020,49.27536
E07000133,2020,55.90909
E07000134,2020,46.49351
E07000135,2020,43.36735
E10000019,2020,47.4883
E07000136,2020,42.04947
E07000137,2020,47.4026
E07000138,2020,49.52681
E07000139,2020,46.62309
E07000140,2020,48.62843
E07000141,2020,49.65398
E07000142,2020,46.5995
E10000024,2020,50.38678
E07000171,2020,52.37069
E07000172,2020,53.03738
E07000173,2020,50.68807
E07000176,2020,51.77665
E12000005,2020,52.11884
E06000019,2020,52.40506
E06000051,2020,50.2805
E06000021,2020,50.14138
E06000020,2020,53.60231
E10000028,2020,52.47969
E07000192,2020,57.06941
E07000193,2020,47.39454
E07000194,2020,52.13033
E07000195,2020,49.64539
E07000196,2020,51.54867
E07000197,2020,54.35484
E07000198,2020,55.36481
E07000199,2020,52.17391
E10000031,2020,52.05232
E07000218,2020,50.58824
E07000219,2020,46.23431
E07000220,2020,55.10689
E07000221,2020,57.11775
