areacd,year,value
E07000222,2020,50
E08000025,2020,51.48613
E08000026,2020,51.54265
E08000027,2020,56.62313
E08000028,2020,48.80716
E08000029,2020,53.27456
E08000030,2020,48.7882
E08000031,2020,50.96154
E10000034,2020,54.55893
E07000234,2020,54.66102
E07000235,2020,56.85393
E07000236,2020,49.83923
E07000237,2020,54.38144
E07000238,2020,54.94137
E07000239,2020,55.05155
E12000006,2020,52.86088
E06000055,2020,57.16586
E06000056,2020,54.5203
E06000032,2020,50.82873
E06000031,2020,47.44186
E06000033,2020,50.81301
E06000034,2020,48.44607
E10000003,2020,54.17143
E07000008,2020,60.89239
E07000009,2020,55.69307
E07000010,2020,50.34169
E07000011,2020,50.75239
E07000012,2020,55.67164
E10000012,2020,51.94629
E07000066,2020,48.38213
E07000067,2020,55.99315
E07000068,2020,56.58915
E07000069,2020,53.09524
E07000070,2020,46.43423
E07000071,2020,55.39143
E07000072,2020,52.06074
E07000073,2020,50.96154
E07000074,2020,50.89606
E07000075,2020,52
E07000076,2020,50.05587
E07000077,2020,56.72515
E10000015,2020,54.13963
E07000095,2020,53.71622
E07000096,2020,54.80769
E07000242,2020,55.92334
E07000098,2020,56.43564
E07000099,2020,58.52632
E07000240,2020,52.12982
E07000243,2020,52.02952
E07000102,2020,52
E07000103,2020,46.44195
E07000241,2020,54.80226
E10000020,2020,52.35939
E07000143,2020,52.9771
E07000144,2020,51.72414
E07000145,2020,48.52652
E07000146,2020,53.84615
E07000147,2020,52.657
E07000148,2020,54.74614
E07000149,2020,51.86992
E10000029,2020,53.80273
E07000200,2020,51.94508
E07000244,2020,52.78869
E07000202,2020,53.69128
E07000203,2020,53.53982
E07000245,2020,56.80317
E09000012,2020,49.90291
E09000022,2020,54.22078
E09000023,2020,51.26904
E09000025,2020,51.46199
E09000028,2020,49.89733
E09000030,2020,52.49406
E09000004,2020,53.13869
E09000006,2020,54.64217
E09000008,2020,53.69775
E09000011,2020,50.34247
E09000017,2020,51.76471
E09000018,2020,52.87162
E12000008,2020,54.51465
E06000036,2020,51.43541
E06000043,2020,50.71429
E06000046,2020,51.693
E06000042,2020,58.71212
E06000044,2020,48.52713
E06000038,2020,53.81356
E06000039,2020,53.41246
E06000045,2020,52.74854
E06000037,2020,54.6875
E06000040,2020,56.03113
E06000041,2020,60.199
E10000011,2020,53.76756
E07000061,2020,52.99145
E07000062,2020,55.40541
E07000063,2020,57.60369
E07000064,2020,56.68103
E07000065,2020,48.45024
E10000014,2020,55.71843
E07000084,2020,53.74801
E07000085,2020,61.32075
E07000086,2020,56.87606
E07000087,2020,53.57143
E07000088,2020,56.18557
E07000089,2020,57.72595
E07000090,2020,54.42177
E07000091,2020,53.26203
E07000092,2020,51.40187
E07000093,2020,57.32143
E07000094,2020,58.50622
E10000016,2020,52.54108
E07000105,2020,46.4135
E07000106,2020,51.75439
E07000107,2020,55.66667
E07000108,2020,51.8595
E07000112,2020,48.27586
E07000114,2020,51.9802
E10000025,2020,55.74803
E07000177,2020,53.44203
E07000178,2020,55.71429
E07000179,2020,58.77342
E07000180,2020,56.09756
E07000181,2020,54.24107
E10000030,2020,56.31797
E07000209,2020,56.09756
E07000213,2020,57.69231
E07000214,2020,53.43284
E07000215,2020,56.23003
E07000216,2020,56.99797
E10000032,2020,55.4385
E07000223,2020,51.32075
E07000224,2020,53.75303
E07000225,2020,57.14286
E07000226,2020,55.76324
E07000227,2020,55.71956
E07000228,2020,58.83534
E07000229,2020,54.23341
E12000009,2020,53.41408
E06000022,2020,54.21304
E06000058,2020,52.14932
E06000023,2020,54.96536
E06000059,2020,52.54237
E06000024,2020,55.30452
E06000026,2020,54.81874
E06000025,2020,53.83868
E06000030,2020,49.39597
E06000027,2020,54.02985
E06000054,2020,54.53708
E10000008,2020,54.65587
E07000040,2020,53.76
E07000041,2020,57.48503
E07000042,2020,53.92157
E07000043,2020,49.68421
E07000044,2020,53.65854
E07000045,2020,57.96875
E07000046,2020,52.9052
E07000047,2020,57.77126
E10000013,2020,52.4084
E07000078,2020,53.99061
E07000079,2020,53.66492
E07000080,2020,54.14201
E07000081,2020,52.64368
E07000082,2020,46.82713
E07000083,2020,54.21995
E10000027,2020,53.07692
E07000187,2020,57.67635
E07000188,2020,55.77617
E07000246,2020,52.46753
E07000189,2020,48.99244
