areacd,urban,coastalTown,imd
K02000001,,,
E92000001,,,
N92000002,,,
S92000003,,,
W92000004,,,
E12000001,,,
E12000002,,,
E12000003,,,
E12000004,,,
E12000005,,,
E12000006,,,
E12000007,,,
E12000008,,,
E12000009,,,
E10000003,,,
E10000006,,,
E10000007,,,
E10000008,,,
E10000011,,,
E10000012,,,
E10000013,,,
E10000014,,,
E10000015,,,
E10000016,,,
E10000017,,,
E10000018,,,
E10000019,,,
E10000020,,,
E10000023,,,
E10000024,,,
E10000025,,,
E10000027,,,
E10000028,,,
E10000029,,,
E10000030,,,
E10000031,,,
E10000032,,,
E10000034,,,
E06000001,Predominantly Urban,Y,1
E06000002,Predominantly Urban,N,1
E06000003,Urban with Significant Rural,Y,1
E06000004,Predominantly Urban,N,2
E06000005,Predominantly Urban,N,2
E06000006,Predominantly Urban,N,1
E06000007,Predominantly Urban,N,3
E06000008,Predominantly Urban,N,1
E06000009,Predominantly Urban,Y,1
E06000010,Predominantly Urban,Y,1
E06000011,Predominantly Rural,Y,4
E06000012,Predominantly Urban,Y,1
E06000013,Urban with Significant Rural,Y,2
E06000014,Predominantly Urban,N,5
E06000015,Predominantly Urban,N,2
E06000016,Predominantly Urban,N,1
E06000017,Predominantly Rural,N,5
E06000018,Predominantly Urban,N,1
E06000019,Predominantly Rural,N,3
E06000020,Predominantly Urban,N,2
E06000021,Predominantly Urban,N,1
E06000022,Urban with Significant Rural,N,5
E06000023,Predominantly Urban,N,2
E06000024,Urban with Significant Rural,Y,4
E06000025,Predominantly Urban,N,5
E06000026,Predominantly Urban,Y,2
E06000027,Predominantly Urban,Y,1
E06000030,Predominantly Urban,N,3
E06000031,Predominantly Urban,N,1
E06000032,Predominantly Urban,N,2
E06000033,Predominantly Urban,Y,2
E06000034,Predominantly Urban,N,3
E06000035,Predominantly Urban,N,2
E06000036,Predominantly Urban,N,5
E06000037,Urban with Significant Rural,N,5
E06000038,Predominantly Urban,N,3
E06000039,Predominantly Urban,N,2
E06000040,Predominantly Urban,N,5
E06000041,Predominantly Urban,N,5
E06000042,Predominantly Urban,N,3
E06000043,Predominantly Urban,Y,3
E06000044,Predominantly Urban,N,1
E06000045,Predominantly Urban,N,1
E06000046,Predominantly Rural,Y,2
E06000047,Predominantly Rural,Y,1
E06000049,Urban with Significant Rural,N,4
E06000050,Urban with Significant Rural,N,3
E06000051,Predominantly Rural,N,3
E06000052,Predominantly Rural,Y,2
E06000053,Predominantly Rural,,5
E06000054,Predominantly Rural,N,4
E06000055,Urban with Significant Rural,N,3
E06000056,Predominantly Rural,N,4
E06000057,Predominantly Rural,Y,2
E06000058,Predominantly Urban,Y,3
E06000059,Predominantly Rural,Y,4
E06000060,Urban with Significant Rural,,
E06000061,Urban with Significant Rural,,
E06000062,Urban with Significant Rural,,
E07000008,Predominantly Urban,N,4
E07000009,Predominantly Rural,N,5
E07000010,Predominantly Rural,N,2
E07000011,Predominantly Rural,N,4
E07000012,Predominantly Rural,N,5
E07000026,Predominantly Rural,Y,2
E07000027,Urban with Significant Rural,Y,1
E07000028,Urban with Significant Rural,N,2
