areacd,parentcd,countrycd,parentnm,countrynm
K02000001,,,,
K03000001,,,,
K04000001,,,,
E92000001,K02000001,,United Kingdom,
N92000002,K02000001,,United Kingdom,
S92000003,K02000001,,United Kingdom,
W92000004,K02000001,,United Kingdom,
E12000001,E92000001,E92000001,England,England
E12000002,E92000001,E92000001,England,England
E12000003,E92000001,E92000001,England,England
E12000004,E92000001,E92000001,England,England
E12000005,E92000001,E92000001,England,England
E12000006,E92000001,E92000001,England,England
E12000007,E92000001,E92000001,England,England
E12000008,E92000001,E92000001,England,England
E12000009,E92000001,E92000001,England,England
E10000003,E12000006,E92000001,East of England,England
E10000006,E12000002,E92000001,North West,England
E10000007,E12000004,E92000001,East Midlands,England
E10000008,E12000009,E92000001,South West,England
E10000011,E12000008,E92000001,South East,England
E10000012,E12000006,E92000001,East of England,England
E10000013,E12000009,E92000001,South West,England
E10000014,E12000008,E92000001,South East,England
E10000015,E12000006,E92000001,East of England,England
E10000016,E12000008,E92000001,South East,England
E10000017,E12000002,E92000001,North West,England
E10000018,E12000004,E92000001,East Midlands,England
E10000019,E12000004,E92000001,East Midlands,England
E10000020,E12000006,E92000001,East of England,England
E10000023,E12000003,E92000001,Yorkshire and The Humber,England
E10000024,E12000004,E92000001,East Midlands,England
E10000025,E12000008,E92000001,South East,England
E10000027,E12000009,E92000001,South West,England
E10000028,E12000005,E92000001,West Midlands,England
E10000029,E12000006,E92000001,East of England,England
E10000030,E12000008,E92000001,South East,England
E10000031,E12000005,E92000001,West Midlands,England
E10000032,E12000008,E92000001,South East,England
E10000034,E12000005,E92000001,West Midlands,England
E06000001,E12000001,E92000001,North East,England
E06000002,E12000001,E92000001,North East,England
E06000003,E12000001,E92000001,North East,England
E06000004,E12000001,E92000001,North East,England
E06000005,E12000001,E92000001,North East,England
E06000006,E12000002,E92000001,North West,England
E06000007,E12000002,E92000001,North West,England
E06000008,E12000002,E92000001,North West,England
E06000009,E12000002,E92000001,North West,England
E06000010,E12000003,E92000001,Yorkshire and The Humber,England
E06000011,E12000003,E92000001,Yorkshire and The Humber,England
E06000012,E12000003,E92000001,Yorkshire and The Humber,England
E06000013,E12000003,E92000001,Yorkshire and The Humber,England
E06000014,E12000003,E92000001,Yorkshire and The Humber,England
E06000015,E12000004,E92000001,East Midlands,England
E06000016,E12000004,E92000001,East Midlands,England
E06000017,E12000004,E92000001,East Midlands,England
E06000018,E12000004,E92000001,East Midlands,England
E06000019,E12000005,E92000001,West Midlands,England
E06000020,E12000005,E92000001,West Midlands,England
E06000021,E12000005,E92000001,West Midlands,England
E06000022,E12000009,E92000001,South West,England
E06000023,E12000009,E92000001,South West,England
E06000024,E12000009,E92000001,South West,England
E06000025,E12000009,E92000001,South West,England
E06000026,E12000009,E92000001,South West,England
E06000027,E12000009,E92000001,South West,England
E06000030,E12000009,E92000001,South West,England
E06000031,E12000006,E92000001,East of England,England
E06000032,E12000006,E92000001,East of England,England
E06000033,E12000006,E92000001,East of England,England
E06000034,E12000006,E92000001,East of England,England
E06000035,E12000008,E92000001,South East,England
E06000036,E12000008,E92000001,South East,England
E06000037,E12000008,E92000001,South East,England
E06000038,E12000008,E92000001,South East,England
E06000039,E12000008,E92000001,South East,England
E06000040,E12000008,E92000001,South East,England
E06000041,E12000008,E92000001,South East,England
E06000042,E12000008,E92000001,South East,England
E06000043,E12000008,E92000001,South East,England
E06000044,E12000008,E92000001,South East,England
E06000045,E12000008,E92000001,South East,England
E06000046,E12000008,E92000001,South East,England
E06000047,E12000001,E92000001,North East,England
E06000049,E12000002,E92000001,North West,England
E06000050,E12000002,E92000001,North West,England
E06000051,E12000005,E92000001,West Midlands,England
E06000052,E12000009,E92000001,South West,England
E06000053,E12000009,E92000001,South West,England
E06000054,E12000009,E92000001,South West,England
